// 0. Quantity class name
// 1. Quantity display name
// 2. Dimensionless differentiator
// 3-9. Quantity dimension exponents for length, mass, time, electric current, temperature, luminous intensity, amount of substance
// 10. Standard unit field name
// 11. Standard unit display name
// 12. Lower standard unit prefix exponent
// 13. Upper standard unit prefix exponent
// 14.-16., 17.-19. etc. Additional unit triplets (Unit field name, unit symbol, Factors class conversion factor vs. standard unit)
PlaneAngle,,Radian,0,0,0,0,0,0,0,Radian,rad,0,0,Degree,°,RadiansPerDegree,Minute,',RadiansPerMinute,Second,\",RadiansPerSecond
Power,,,2,1,-3,0,0,0,0,Watt,W,-9,9
Pressure,,,-1,1,-2,0,0,0,0,Pascal,Pa,-9,9
Probability,,Number,0,0,0,0,0,0,0,Number,,0,0,Percent,%,Centi,Permille,\u2030,Milli,PartsPerMillion,ppm,Micro
RefractiveIndex,,RefractiveIndex,0,0,0,0,0,0,0,One,,0,0
RelativePermeability,,RelativePermeability,0,0,0,0,0,0,0,One,,0,0
SolidAngle,,Steradian,0,0,0,0,0,0,0,Steradian,sr,-9,-3,SquareDegree,(°)²,RadiansPerDegree*RadiansPerDegree
SpecificVolume,,,3,-1,0,0,0,0,0,CubicMeterPerKiloGram,m³ kg\u207b¹,0,0
SurfaceDensity,,,-2,1,0,0,0,0,0,KiloGramPerSquareMeter,kg m\u207b²,0,0,GramPerSquareCentiMeter,g cm\u207b²,Deka
SurfaceTension,,,0,1,-2,0,0,0,0,NewtonPerMeter,N m\u207b¹,-9,9
Temperature,,,0,0,0,0,1,0,0,Kelvin,K,0,0
Time,,,0,0,1,0,0,0,0,Second,s,0,0,Minute,min,SecondsPerMinute,Hour,h,SecondsPerHour,Day,dy,SecondsPerDay,Week,wk,SecondsPerWeek,JulianYear,a,SecondsPerJulianYear
Velocity,,,1,0,-1,0,0,0,0,MeterPerSecond,m s\u207b¹,-9,3,KiloMeterPerHour,km h\u207b¹,Kilo/SecondsPerHour
Volume,,,3,0,0,0,0,0,0,CubicMeter,m³,0,0,CubicDeciMeter,dm³,Deci*Deci*Deci,CubicCentiMeter,cm³,Centi*Centi*Centi,CubicMilliMeter,mm³,Milli*Milli*Milli,Liter,l,Deci*Deci*Deci,USLiquidGallon,gal,CubicMetersPerUSLiquidGallon
WaveNumber,,,-1,0,0,0,0,0,0,ReciprocalMeter,m\u207b¹,0,0,ReciprocalCentiMeter,cm\u207b¹,Hecto,ReciprocalMilliMeter,mm\u207b¹,Kilo

